TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
ESDG,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EUROPE SRI UCITS ETF D,LU2059756598,ETFS,ETFs,,,26/11/2019,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
ESDU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EUROPE SRI UCITS ETF D,LU2059756598,ETFS,ETFs,,,26/11/2019,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
ESRG,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EUROP SRI UCITS ETF DR,LU1861137484,ETFS,ETFs,,,01/10/2019,Luxembourg,GBX,MAIN MARKET,,ETF2,EFEU
ESRU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI EUROP SRI UCITS ETF DR,LU1861137484,ETFS,ETFs,,,01/10/2019,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
FT1K,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI UK IMI SRI DR,LU1437025296,ETFS,ETFs,,,13/12/2016,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
GAGG,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX GLOBAL AGG 500M UCITS DR,LU1437024729,ETFS,ETFs,,,29/06/2017,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEN
GAGU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX GLOBAL AGG 500M UCITS DR,LU1437024729,ETFS,ETFs,,,02/02/2021,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
GCLM,AMUNDI INDEX SOLUTIONS,AMUNDI MSCI WORLD CLIMATE TRANSITION CTB,LU1602144492,ETFS,ETFs,,,02/02/2021,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
GCSG,AMUNDI INDEX SOLUTIONS,AM GL CORP SRI 1-5Y UCITS ETF DR HGBP,LU2382233182,ETFS,ETFs,,,23/11/2021,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
GGOV,AMUNDI INDEX SOLUTIONS,AMUNDI J.P. MORGAN GLOBAL GOVIES DR,LU1437016204,ETFS,ETFs,,,29/06/2017,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
GOVG,AMUNDI INDEX SOLUTIONS,AMUNDI JP MRG GBI GL GV-GBPH,LU2355200796,ETFS,ETFs,,,27/07/2021,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
GOVU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX JP MORGAN GBI GLOBAL GOVIES,LU1437016204,ETFS,ETFs,,,02/02/2021,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
JARG,AMUNDI INDEX SOLUTIONS,AMUNDI JAPAN SRI PAB UCITS ETF - GBP D,LU2469335025,ETFS,ETFs,,,21/06/2022,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
JARI,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI JAPAN SRI,LU2233156749,ETFS,ETFs,,,11/02/2021,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
JPHG,AMUNDI INDEX SOLUTIONS,AMUNDI NIK400 DH GBP,LU1681039308,ETFS,ETFs,,,22/03/2018,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
JPHU,AMUNDI INDEX SOLUTIONS,AMUNDI NIK400 DH USD,LU1681039217,ETFS,ETFs,,,22/03/2018,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
JPNY,AMUNDI INDEX SOLUTIONS,AMUNDI JPX-NIKKEI 400,LU1681039050,ETFS,ETFs,,,22/03/2018,Luxembourg,GBX,MAIN MARKET,,ETFS,ETEU
JPX4,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI JAPAN SRI PAB - UCITS,LU2233156749,ETFS,ETFs,,,18/11/2022,Luxembourg,USD,MAIN MARKET,,ETF2,EFEU
JPXU,AMUNDI INDEX SOLUTIONS,AMUNDI INDEX MSCI JAPAN SRI HEDGED USD,LU1646359882,ETFS,ETFs,,,22/09/2017,Luxembourg,USD,MAIN MARKET,,ETFS,ETEU
