TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
IEFQ,ISHARES IV PLC,ISHS EDGE MSCI EUR QLT FAC UCITS ETF ACC,IE00BQN1K562,ETFS,ETFs,Financials,Financial Services ,19/01/2015,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IEFS,ISHARES IV PLC,ISHS EDGE MSCI EUROPE SIZE FAC UCITS ACC,IE00BQN1KC32,ETFS,ETFs,Financials,Financial Services ,19/01/2015,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IEFV,ISHARES IV PLC,ISHS EDGE MSCI EUR VAL FAC UCITS ETF ACC,IE00BQN1K901,ETFS,ETFs,Financials,Financial Services ,19/01/2015,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IEMD,ISHARES IV PLC,ISH EUROPE MOMENTUM ETF EUR DIST,IE00BG13YJ64,ETFS,ETFs,Financials,Financial Services ,27/02/2018,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IEQD,ISHARES IV PLC,ISH EUROPE QUALITY ETF EUR DIST,IE00BG13YG34,ETFS,ETFs,Financials,Financial Services ,27/02/2018,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IEVL,ISHARES IV PLC,ISHS EDGE MSCI EUR VAL FAC UCITS ETF ACC,IE00BQN1K901,ETFS,ETFs,Financials,Financial Services ,19/01/2015,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IFSD,ISHARES IV PLC,ISH EUROPE MULTIFACTOR ETF EUR DIST,IE00BG13YL86,ETFS,ETFs,Financials,Financial Services ,27/02/2018,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IFSU,ISHARES IV PLC,ISHS EDGE MSCI USA MULTIFAC ETF USD ACC,IE00BZ0PKS76,ETFS,ETFs,Financials,Financial Services ,08/09/2015,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IFSW,ISHARES IV PLC,ISHS EDGE MSCI WRLD MULTIFAC ETF USD ACC,IE00BZ0PKT83,ETFS,ETFs,Financials,Financial Services ,08/09/2015,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IGSD,ISHARES IV PLC,ISHS $ SHORT DUR CORP BOND ETF USD(DIST),IE00BCRY5Y77,ETFS,ETFs,Financials,Financial Services ,17/10/2013,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IIND,ISHARES IV PLC,ISH MSCI INDIA UCITS ETF USD ACC GBP,IE00BZCQB185,ETFS,ETFs,Financials,Financial Services ,29/05/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
IMBA,ISHARES IV PLC,IS US MORT BACK SEC UCITS ETF USD ACC,IE00BYXYYN70,ETFS,ETFs,Financials,Financial Services ,13/04/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IMBS,ISHARES IV PLC,ISHS US MTGE BKD SEC UCITS EFT USD DIST,IE00BZ6V7883,ETFS,ETFs,Financials,Financial Services ,25/05/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IMGP,ISHARES IV PLC,ISHARES US MBS UCT ETF GBP HDGD DIS,IE000MFEI2J0,ETFS,ETFs,Financials,Financial Services ,07/10/2022,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
ISFR,ISHARES IV PLC,ISHS MSCI FRANCE UCITS ETF EUR (ACC),IE00BP3QZJ36,ETFS,ETFs,Financials,Financial Services ,08/09/2014,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUMD,ISHARES IV PLC,ISH USA MOMENTUM ETF USD DIST,IE00BFF5RZ82,ETFS,ETFs,Financials,Financial Services ,23/02/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUMF,ISHARES IV PLC,ISHARES EDGE MSCI USA MOMENTUM FACTOR,IE00BD1F4N50,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IUMO,ISHARES IV PLC,ISHARES EDGE MSCI USA MOMENTUM FACTOR,IE00BD1F4N50,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUQA,ISHARES IV PLC,ISHARES EDGE MSCI USA QUALITY FACTOR,IE00BD1F4L37,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUQD,ISHARES IV PLC,ISH USA QUALITY ETF USD DIST,IE00BF2QSQ20,ETFS,ETFs,Financials,Financial Services ,23/02/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUQF,ISHARES IV PLC,ISHARES EDGE MSCI USA QUALITY FACTOR,IE00BD1F4L37,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IUSF,ISHARES IV PLC,ISHARES EDGE MSCI USA SIZE FACTOR,IE00BD1F4K20,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IUSZ,ISHARES IV PLC,ISHARES EDGE MSCI USA SIZE FACTOR,IE00BD1F4K20,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUVD,ISHARES IV PLC,ISH USA VALUE ETF USD DIST,IE00BFF5RX68,ETFS,ETFs,Financials,Financial Services ,23/02/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IUVF,ISHARES IV PLC,ISHARES EDGE MSCI USA VALUE FACTOR,IE00BD1F4M44,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IUVL,ISHARES IV PLC,ISHARES EDGE MSCI USA VALUE FACTOR,IE00BD1F4M44,ETFS,ETFs,Financials,Financial Services ,17/10/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IWFM,ISHARES IV PLC,ISHS EDGE MSCI WLD MMNT FACT ETF USD ACC,IE00BP3QZ825,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
IWFQ,ISHARES IV PLC,ISHS EDGE MSCI WRLD QLTY FAC ETF USD ACC,IE00BP3QZ601,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
IWFS,ISHARES IV PLC,ISHS EDGE MSCI WLD SIZE FCT ETF USD ACC,IE00BP3QZD73,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
IWFV,ISHARES IV PLC,ISHS EDGE MSCI WRL VAL FCT UCITS ETF ACC,IE00BP3QZB59,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
IWMO,ISHARES IV PLC,ISHS EDGE MSCI WLD MMNT FACT ETF USD ACC,IE00BP3QZ825,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
IWQU,ISHARES IV PLC,ISHS EDGE MSCI WRLD QLTY FAC ETF USD ACC,IE00BP3QZ601,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
IWSZ,ISHARES IV PLC,ISHS EDGE MSCI WLD SIZE FCT ETF USD ACC,IE00BP3QZD73,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
IWVG,ISHARES IV PLC,ISH WORLD VALUE ETF GBP DIST,IE00BFYTYS33,ETFS,ETFs,Financials,Financial Services ,27/02/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
IWVL,ISHARES IV PLC,ISHS EDGE MSCI WRL VAL FCT UCITS ETF ACC,IE00BP3QZB59,ETFS,ETFs,Financials,Financial Services ,06/10/2014,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
IWVU,ISHARES IV PLC,ISH WORLD VALUE ETF USD DIST,IE00BFYTYS33,ETFS,ETFs,Financials,Financial Services ,27/02/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
JPSG,ISHARES IV PLC,ISHARES MSCI JPN SRI UCT ETF GBP HDG ACC,IE0007VCNJW3,ETFS,ETFs,Financials,Financial Services ,30/06/2022,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
LOCK,ISHARES IV PLC,ISH DGTL SEC UCITS ETF,IE00BG0J4C88,ETFS,ETFs,Financials,Financial Services ,12/09/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
NDIA,ISHARES IV PLC,ISH MSCI INDIA UCITS ETF USD ACC,IE00BZCQB185,ETFS,ETFs,Financials,Financial Services ,29/05/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
OMXS,ISHARES IV PLC,ISHARES OMX STOCKHOLM CAPPED UCITS ETF,IE00BD3RYZ16,ETFS,ETFs,Financials,Financial Services ,16/12/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
OPEN,ISHARES IV PLC,ISH RE INCL / DIVERSITY ETF,IE00BD0B9B76,ETFS,ETFs,Financials,Financial Services ,12/09/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
RBOD,ISHARES IV PLC,ISHARES AUTOMAT & RBOT UCITS USD (DIST),IE00BYWZ0333,ETFS,ETFs,Financials,Financial Services ,23/10/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
RBOT,ISHARES IV PLC,ISHS AUTO & ROBOTICS UCITS ETF USD (ACC),IE00BYZK4552,ETFS,ETFs,Financials,Financial Services ,12/09/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
RBTX,ISHARES IV PLC,ISHS AUTO & ROBOTICS UCITS ETF USD (ACC),IE00BYZK4552,ETFS,ETFs,Financials,Financial Services ,12/09/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
RISE,ISHARES IV PLC,ISHS FLLN ANGELS HY CRP BD UCITS ETF DIS,IE00BYM31M36,ETFS,ETFs,Financials,Financial Services ,22/06/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SAEM,ISHARES IV PLC,ISH MSCI EM IMI USD-A,IE00BFNM3P36,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SAEU,ISHARES IV PLC,ISH MSCI EU ESG GBP-A,IE00BFNM3D14,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SAJP,ISHARES IV PLC,ISH MSCI JAP ESG USD-A,IE00BFNM3L97,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SASU,ISHARES IV PLC,ISH MSCI USA ESG USD-A,IE00BFNM3G45,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SAUM,ISHARES IV PLC,ISH MSCI EMU ESG-GBP-A,IE00BFNM3B99,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SAWD,ISHARES IV PLC,ISH MSCI WORLD ESG USD-A,IE00BFNM3J75,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDHA,ISHARES IV PLC,ISH $ ST DUR HY CRP BND ETF USD ACC,IE00BZ17CN18,ETFS,ETFs,Financials,Financial Services ,03/07/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDHG,ISHARES IV PLC,ISHS $ SHRT DUR HY CRP BD ETF USD (DIST),IE00BCRY6003,ETFS,ETFs,Financials,Financial Services ,17/10/2013,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SDHY,ISHARES IV PLC,ISHS $ SHRT DUR HY CRP BD ETF USD (DIST),IE00BCRY6003,ETFS,ETFs,Financials,Financial Services ,17/10/2013,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDIA,ISHARES IV PLC,IS $ SHRT DUR CORP BND UCITS ETF USD ACC,IE00BYXYYP94,ETFS,ETFs,Financials,Financial Services ,13/04/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDIG,ISHARES IV PLC,ISHS $ SHORT DUR CORP BOND ETF USD(DIST),IE00BCRY5Y77,ETFS,ETFs,Financials,Financial Services ,17/10/2013,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDJP,ISHARES IV PLC,ISH MSCI JAP ESG USD-D,IE00BFNM3M05,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDUE,ISHARES IV PLC,ISH MSCI EU ESG GBP-D,IE00BFNM3F38,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDUS,ISHARES IV PLC,ISH MSCI USA ESG USD-D,IE00BFNM3H51,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SDWD,ISHARES IV PLC,ISH MSCI WORLD ESG USD-D,IE00BFNM3K80,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SEDM,ISHARES IV PLC,ISH MSCI EM IMI USD-D,IE00BFNM3N12,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SEGM,ISHARES IV PLC,ISH MSCI EM IMI ESG ACC,IE00BFNM3P36,ETFS,ETFs,Financials,Financial Services ,22/11/2019,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SGJP,ISHARES IV PLC,ISH MSCI JPN ESG S USD A,IE00BFNM3L97,ETFS,ETFs,Financials,Financial Services ,30/06/2021,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SGWS,ISHARES IV PLC,ISH £SRI E GBH D,IE00BMZ17T93,ETFS,ETFs,Financials,Financial Services ,15/10/2020,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SHLD,ISHARES IV PLC,ISH DGTL SEC USD-D,IE00BG0J4841,ETFS,ETFs,Financials,Financial Services ,01/11/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SHLG,ISHARES IV PLC,ISH £SHL G GAM D,IE00BG0J4841,ETFS,ETFs,Financials,Financial Services ,23/02/2021,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SMBS,ISHARES IV PLC,ISHS US MTGE BKD SEC UCITS EFT USD DIST,IE00BZ6V7883,ETFS,ETFs,Financials,Financial Services ,25/05/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SMUD,ISHARES IV PLC,ISH MSCI EMU ESG-GBP-D,IE00BFNM3C07,ETFS,ETFs,Financials,Financial Services ,23/10/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SUAP,ISHARES IV PLC,ISH MSCI US SRI GBH D,IE00BMWPV470,ETFS,ETFs,Financials,Financial Services ,25/05/2021,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SUAS,ISHARES IV PLC,ISHS MSCI USA SRI UCITS ETF USD ACC,IE00BYVJRR92,ETFS,ETFs,Financials,Financial Services ,12/07/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SUES,ISHARES IV PLC,ISHS MSCI EM SRI UCITS ETF USD ACC,IE00BYVJRP78,ETFS,ETFs,Financials,Financial Services ,12/07/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
SUJA,ISHARES IV PLC,ISHARES MSCI JAPAN SRI UCITS ETF,IE00BYX8XC17,ETFS,ETFs,Financials,Financial Services ,06/03/2017,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
SUJP,ISHARES IV PLC,ISHARES MSCI JAPAN SRI UCITS ETF,IE00BYX8XC17,ETFS,ETFs,Financials,Financial Services ,06/03/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
SUJS,ISHARES IV PLC,ISHS MSCI JPN SRI EUR HDGD UCITS ETF ACC,IE00BYVJRQ85,ETFS,ETFs,Financials,Financial Services ,04/05/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
SUSM,ISHARES IV PLC,ISHS MSCI EM SRI UCITS ETF USD ACC,IE00BYVJRP78,ETFS,ETFs,Financials,Financial Services ,12/07/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
SUSW,ISHARES IV PLC,ISHARES MSCI WLD SRI UCITS EUR (ACC),IE00BYX2JD69,ETFS,ETFs,Financials,Financial Services ,16/10/2017,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
SUUS,ISHARES IV PLC,ISHS MSCI USA SRI UCITS ETF USD ACC,IE00BYVJRR92,ETFS,ETFs,Financials,Financial Services ,12/07/2016,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SUWG,ISHARES IV PLC,ISH £SUW G HBN D,IE00BDZZTM54,ETFS,ETFs,Financials,Financial Services ,23/02/2021,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
SUWS,ISHARES IV PLC,ISHARES MSCI WLD SRI UCITS USD (ACC),IE00BDZZTM54,ETFS,ETFs,Financials,Financial Services ,16/10/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
UESD,ISHARES IV PLC,ISH GBP U B ESD D,IE00BJP26F04,ETFS,ETFs,Financials,Financial Services ,18/03/2020,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
UFSD,ISHARES IV PLC,ISH USA MULTIFACTOR ETF USD DIST,IE00BG13YZ23,ETFS,ETFs,Financials,Financial Services ,23/02/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
WIAU,ISHARES IV PLC,ISH FLN ANGELS HY CORP BOND ETF USD ACC,IE00BDFJYP58,ETFS,ETFs,Financials,Financial Services ,12/04/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
WIGG,ISHARES IV PLC,ISH FLN ANGELS HY CORP BOND ETF GBP-H D,IE00BDFK1680,ETFS,ETFs,Financials,Financial Services ,12/04/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
WING,ISHARES IV PLC,ISHS FLLN ANGELS HY CRP BD UCITS ETF DIS,IE00BYM31M36,ETFS,ETFs,Financials,Financial Services ,22/06/2016,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
WNGE,ISHARES IV PLC,ISH ANGELS HY CRP BOND ETF EUR-HD DIST,IE00BF3N7219,ETFS,ETFs,Financials,Financial Services ,12/04/2018,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
CORP,ISHARES PLC,ISHARES GLBL CORP BND UCITS ETF USD DIST,IE00B7J7TB45,ETFS,ETFs,Financials,Financial Services ,25/09/2012,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
CRHG,ISHARES PLC,ISH GLOBAL CORP BOND ETF GBP-H D,IE00BDFK3G24,ETFS,ETFs,Financials,Financial Services ,23/03/2018,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
CRPA,ISHARES PLC,ISH GLB CORP BND ETF USD ACC,IE00BFM6TB42,ETFS,ETFs,Financials,Financial Services ,14/05/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
CRPS,ISHARES PLC,ISHARES GLBL CORP BND UCITS ETF USD DIST,IE00B7J7TB45,ETFS,ETFs,Financials,Financial Services ,25/09/2012,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
CRPU,ISHARES PLC,IS GLOBAL CRP BND ETF USD HEDGED (ACC),IE00BF3N6Z78,ETFS,ETFs,Financials,Financial Services ,10/08/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
DJMC,ISHARES PLC,ISHARES EUR STOXX MID UCITS ETF EUR DIST,IE00B02KXL92,ETFS,ETFs,Financials,Financial Services ,01/11/2004,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
DJSC,ISHARES PLC,ISHARES EUR STOXX SML UCITS ETF EUR DIST,IE00B02KXM00,ETFS,ETFs,Financials,Financial Services ,01/11/2004,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
EIMI,ISHARES PLC,ISHARES CORE EM IMI UCITS ETF USD (ACC),IE00BKM4GZ66,ETFS,ETFs,Financials,Financial Services ,02/06/2014,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2E
EIMU,ISHARES PLC,ISH CORE MSCI EM IMI ETF USD DIST,IE00BD45KH83,ETFS,ETFs,Financials,Financial Services ,12/03/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
EMGU,ISHARES PLC,ISH C MSCI EM IMI DIST,IE00BD45KH83,ETFS,ETFs,Financials,Financial Services ,22/11/2019,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
EMIM,ISHARES PLC,ISHARES CORE EM IMI UCITS ETF USD (ACC),IE00BKM4GZ66,ETFS,ETFs,Financials,Financial Services ,02/06/2014,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
ES15,ISHARES PLC,ISHARES £ CORP BD 0-5 UCITS ETF GBP DIST,IE00B5L65R35,ETFS,ETFs,Financials,Financial Services ,30/03/2011,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
EUXS,ISHARES PLC,ISHS MSCI EUR EX-UK £ HDG UCITS ETF DIST,IE00BVDPJP67,ETFS,ETFs,Financials,Financial Services ,02/04/2015,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
FXC,ISHARES PLC,ISHARES CHINA LGE CAP UCITS ETF USD DIST,IE00B02KXK85,ETFS,ETFs,Financials,Financial Services ,25/10/2004,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
GHYG,ISHARES PLC,ISH GHY CORP BND GBP H D,IE00BJSFQX44,ETFS,ETFs,Financials,Financial Services ,30/04/2019,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
GOVP,ISHARES PLC,ISH $ TSY BND UCITS GBP HDGED,IE00BKTN1T54,ETFS,ETFs,Financials,Financial Services ,17/09/2019,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
HIGH,ISHARES PLC,IS E HIGH YIELD CRP BND UCITS EUR (ACC),IE00BF3N7094,ETFS,ETFs,Financials,Financial Services ,25/09/2017,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
HLQD,ISHARES PLC,ISH $ CRP BND INT RT HGD ETF USD ACC,IE00BZ173W74,ETFS,ETFs,Financials,Financial Services ,03/07/2018,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
HYEA,ISHARES PLC,ISHARES GL HYLD CRP BOND UCITS USD (ACC),IE00BYWZ0440,ETFS,ETFs,Financials,Financial Services ,24/10/2017,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
HYGU,ISHARES PLC,ISH EUR HY CRP BOND UCITS ETF USD-H ACC,IE00BF3NC260,ETFS,ETFs,Financials,Financial Services ,20/11/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
HYLA,ISHARES PLC,ISHARES GL HYLD CRP BOND UCITS USD (ACC),IE00BYWZ0440,ETFS,ETFs,Financials,Financial Services ,23/10/2017,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
HYLD,ISHARES PLC,ISHARES GLBL HY CP BD UCITS ETF USD DIST,IE00B74DQ490,ETFS,ETFs,Financials,Financial Services ,14/11/2012,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUE2,UE2I
IAEX,ISHARES PLC,ISHARES AEX UCITS ETF EUR (DIST),IE00B0M62Y33,ETFS,ETFs,Financials,Financial Services ,21/11/2005,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IAPD,ISHARES PLC,ISHARES ASIA PAC. DIV UCITS ETF USD DIST,IE00B14X4T88,ETFS,ETFs,Financials,Financial Services ,05/06/2006,Ireland,GBX,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET5
IB01,ISHARES PLC,ISH $ TR BND 0-1YR U-A,IE00BGSF1X88,ETFS,ETFs,Financials,Financial Services ,22/02/2019,Ireland,USD,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IBCI,ISHARES PLC,ISHARES EUR I.L GOV BD UCITS ETF EUR ACC,IE00B0M62X26,ETFS,ETFs,Financials,Financial Services ,21/11/2005,Ireland,GBP,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
IBCX,ISHARES PLC,ISHARES E C.BD LG CAP UCITS ETF EUR DIST,IE0032523478,ETFS,ETFs,Financials,Financial Services ,27/09/2004,Ireland,EUR,MAIN MARKET,Standard Equity Open Ended Investment Companies,EUET,UET9
